epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,328.781,1.01598,0.62967,1.07154,0.99109,1,0.99351,0.70467,1.12874,0.51905,1.0605,0.000544625,0.000544625,0.000544625
59,333.519,1.02828,0.60207,1.08458,0.99157,1,0.99331,0.68538,1.19697,0.55691,1.1047,0.00053225,0.00053225,0.00053225
60,338.747,1.05404,0.59692,1.09698,0.99081,1,0.99466,0.71304,1.10747,0.5249,1.04958,0.000519875,0.000519875,0.000519875
61,343.792,1.06931,0.60821,1.08683,0.98967,1,0.99203,0.70761,1.10256,0.52286,1.05473,0.0005075,0.0005075,0.0005075
62,348.473,1.04737,0.59177,1.10013,0.99043,1,0.9898,0.7003,1.09188,0.51062,1.0794,0.000495125,0.000495125,0.000495125
63,353.882,1.013,0.58601,1.08859,0.98945,1,0.98905,0.70789,1.09387,0.52008,1.06533,0.00048275,0.00048275,0.00048275
64,358.871,1.06011,0.59501,1.10008,0.98432,1,0.98905,0.72232,1.03479,0.5145,1.03201,0.000470375,0.000470375,0.000470375
65,363.792,1.02871,0.57881,1.05681,0.99008,1,0.98885,0.71517,1.01087,0.47298,0.9981,0.000458,0.000458,0.000458
66,369.287,1.05287,0.58066,1.06837,0.99033,1,0.98959,0.70686,1.05234,0.48208,1.01395,0.000445625,0.000445625,0.000445625
67,374.19,0.9915,0.58267,1.07604,0.99009,1,0.98939,0.71342,1.07377,0.5016,1.03115,0.00043325,0.00043325,0.00043325
68,379.617,1.0132,0.57704,1.05721,0.99058,1,0.98885,0.7016,1.11327,0.50847,1.07112,0.000420875,0.000420875,0.000420875
69,384.59,0.99645,0.55327,1.05642,0.9912,1,0.98885,0.69526,1.1006,0.48583,1.04072,0.0004085,0.0004085,0.0004085
70,389.082,0.99259,0.56219,1.05515,0.98983,1,0.98959,0.70996,1.07961,0.49687,1.02579,0.000396125,0.000396125,0.000396125
71,394.668,0.99925,0.56541,1.0588,0.99083,1,0.99182,0.72287,1.06744,0.50194,1.02471,0.00038375,0.00038375,0.00038375
72,399.535,1.01488,0.57493,1.08588,0.99082,1,0.99203,0.72843,1.05015,0.48489,1.03771,0.000371375,0.000371375,0.000371375
73,404.389,0.99523,0.55627,1.06916,0.99047,1,0.99034,0.7169,1.04724,0.47662,1.02022,0.000359,0.000359,0.000359
74,409.853,0.97858,0.55512,1.06544,0.99078,1,0.99182,0.70926,1.07697,0.48826,1.02411,0.000346625,0.000346625,0.000346625
75,414.694,0.98955,0.55142,1.05513,0.99096,1,0.99331,0.73256,1.01346,0.4859,1.00608,0.00033425,0.00033425,0.00033425
76,419.281,0.99472,0.54487,1.06451,0.99133,1,0.99412,0.73332,0.99539,0.50282,1.02161,0.000321875,0.000321875,0.000321875
77,424.712,0.98762,0.54187,1.05119,0.99146,1,0.99351,0.734,0.9935,0.49328,1.00853,0.0003095,0.0003095,0.0003095
78,429.459,0.97367,0.54472,1.05499,0.99157,1,0.99223,0.73279,0.99833,0.46882,1.01984,0.000297125,0.000297125,0.000297125
79,434.354,0.99235,0.54916,1.07342,0.99101,1,0.99149,0.73391,1.00736,0.45795,1.01493,0.00028475,0.00028475,0.00028475
80,439.725,0.959,0.5293,1.04581,0.99137,1,0.99277,0.73634,1.01039,0.45726,1.01728,0.000272375,0.000272375,0.000272375
81,444.679,0.97218,0.51914,1.05587,0.99037,1,0.99277,0.73739,0.99665,0.46124,1.01405,0.00026,0.00026,0.00026
82,449.935,0.96041,0.51888,1.04788,0.99058,1,0.99351,0.74843,0.98252,0.45662,1.00319,0.000247625,0.000247625,0.000247625
83,455.426,0.95699,0.51466,1.03368,0.99125,1,0.99331,0.75079,0.96789,0.45753,0.99747,0.00023525,0.00023525,0.00023525
84,460.004,0.96462,0.52674,1.04384,0.99135,1,0.99331,0.74359,0.97046,0.43832,0.99446,0.000222875,0.000222875,0.000222875
85,465.85,0.96153,0.51839,1.05341,0.99086,1,0.99277,0.7473,0.97078,0.44071,0.98951,0.0002105,0.0002105,0.0002105
86,472.19,0.93622,0.5054,1.03987,0.99132,1,0.99203,0.74073,0.95231,0.44573,0.99409,0.000198125,0.000198125,0.000198125
87,476.74,0.95149,0.50971,1.04485,0.99114,1,0.99162,0.7283,0.96919,0.43416,0.99357,0.00018575,0.00018575,0.00018575
88,482.193,0.95233,0.51725,1.04067,0.99126,1,0.99203,0.73639,0.97478,0.44116,0.99698,0.000173375,0.000173375,0.000173375
89,487.172,0.91462,0.50151,1.0248,0.99143,1,0.99243,0.73827,0.9797,0.43796,0.99769,0.000161,0.000161,0.000161
90,491.867,0.93049,0.49745,1.03077,0.99125,1,0.99088,0.7338,0.98334,0.44151,0.9884,0.000148625,0.000148625,0.000148625
91,499.998,0.89014,0.48188,0.9923,0.99122,1,0.99182,0.73619,0.97464,0.44243,0.98933,0.00013625,0.00013625,0.00013625
92,505.069,0.87081,0.46482,0.98209,0.991,1,0.99257,0.74186,0.97318,0.42998,0.98744,0.000123875,0.000123875,0.000123875
93,510.776,0.87372,0.46549,0.97801,0.99109,1,0.99392,0.74302,0.98047,0.43309,0.99025,0.0001115,0.0001115,0.0001115
94,515.942,0.8761,0.46143,0.97822,0.99118,1,0.99412,0.74002,1.00105,0.44056,1.00103,9.9125e-05,9.9125e-05,9.9125e-05
95,520.865,0.87741,0.45424,0.98162,0.99089,1,0.99426,0.73703,0.99561,0.43936,1.00241,8.675e-05,8.675e-05,8.675e-05
96,526.17,0.85769,0.44265,0.97619,0.99011,1,0.99446,0.74362,0.98171,0.43669,0.9942,7.4375e-05,7.4375e-05,7.4375e-05
97,530.807,0.86264,0.44756,0.97813,0.9901,1,0.99446,0.74477,0.97502,0.42955,0.99182,6.2e-05,6.2e-05,6.2e-05
98,535.733,0.853,0.43995,0.97477,0.9903,1,0.99412,0.74219,0.97514,0.43185,0.99069,4.9625e-05,4.9625e-05,4.9625e-05
99,540.65,0.85653,0.43449,0.97551,0.99053,1,0.99392,0.7392,0.97633,0.42835,0.99415,3.725e-05,3.725e-05,3.725e-05
100,545.222,0.85682,0.43597,0.98178,0.99068,1,0.99392,0.73856,0.97827,0.42835,0.99693,2.4875e-05,2.4875e-05,2.4875e-05
